Wall time,Step,Value
1694496764.2438896,6,0.5752211213111877
1694496764.4875221,7,0.5760304927825928
1694496765.3402147,12,0.5776084661483765
1694496765.6776154,15,0.5750546455383301
1694496765.8785493,16,0.5764151215553284
1694496766.2603705,19,0.5753069519996643
1694496766.463603,21,0.5752211213111877
1694496766.9319718,25,0.5730968117713928
1694496768.3409324,37,0.5750546455383301
1694496768.90795,41,0.5764154195785522
1694496769.2474632,43,0.5748884677886963
1694496769.6425986,45,0.5761597156524658
1694496769.7926672,46,0.5657896399497986
1694496770.1514375,48,0.571637749671936
1694496771.071324,54,0.5773353576660156
1694496771.192481,55,0.5752211213111877
1694496771.2991822,56,0.5754836201667786
1694496771.457877,57,0.5748884677886963
1694496771.5795586,58,0.5751388669013977
1694496773.2616591,66,0.5770524740219116
1694496773.8472044,69,0.571637749671936
1694496774.289316,72,0.5754979252815247
1694496774.4375474,73,0.5776084661483765
1694496774.6576765,74,0.5773395895957947
1694496774.808047,75,0.5750546455383301
1694496776.0097406,80,0.5759665966033936
1694496777.8575737,88,0.5761155486106873
1694496778.0942285,89,0.5764880180358887
1694496779.1407535,95,0.5758432745933533
1694496780.820522,103,0.5753069519996643
1694496781.4339213,106,0.5753069519996643
1694496781.5879977,107,0.5752211213111877
1694496783.4842243,114,0.5772131681442261
1694496784.2600768,117,0.5765309929847717
1694496784.7052195,119,0.5768193006515503
1694496786.5775309,127,0.571637749671936
1694496787.0831387,130,0.5767272710800171
1694496787.3336203,131,0.5770442485809326
1694496789.834141,140,0.5765652656555176
1694496790.2404804,142,0.5761155486106873
1694496790.4347036,143,0.5773395895957947
1694496790.6410248,144,0.5764151215553284
1694496792.2258532,151,0.575719952583313
1694496793.602099,156,0.5752211213111877
1694496794.3548267,158,0.575719952583313
1694496794.583477,159,0.5756047964096069
1694496795.4163613,163,0.5754836201667786
1694496796.2637014,168,0.5758432745933533
1694496796.4346218,169,0.5766003131866455
1694496797.1879652,172,0.5763881206512451
1694496798.8273757,178,0.5757495760917664
1694496799.108191,179,0.5754979252815247
1694496799.563321,181,0.5754979252815247
1694496800.3441067,184,0.5741245746612549
1694496800.6561866,186,0.5754836201667786
1694496800.8899734,187,0.5765689611434937
1694496801.3908925,189,0.5763881206512451
1694496802.1018,191,0.5754889249801636
1694496802.3143706,192,0.5763733386993408
